Bilateral trade between Morocco and Türkiye,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Sources: ITC calculations based on Office des changes du Maroc statistics since January, 2015.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on UN COMTRADE statistics since January, 2014 and until January, 2015.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on Office des changes du Maroc statistics since January, 2013 and until January, 2014.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on UN COMTRADE statistics until January, 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data based on the partner reported data (Mirror data) are shown in orange,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Product code,Product label,Morocco's imports from Türkiye,,,,,Türkiye's exports to world,,,,,,Morocco's imports from world,,,,,
,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025
'78,Lead and articles thereof,0,14,23,8,,,40199,62452,70008,59242,53477,,839,1091,1402,1808,
'79,Zinc and articles thereof,513,2481,2827,575,,,16523,143673,122762,29380,18309,,44373,61171,40563,53898,
'80,Tin and articles thereof,4,2,3,7,,,15305,37820,18927,15039,23282,,2570,2558,2873,2672,
'81,Other base metals; cermets; articles thereof,4,88,47,11,,,187010,296292,257925,211803,187448,,38015,52871,70378,89103,
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2859,3306,3292,3513,,,326131,376359,420067,393170,392888,,122217,121581,147237,149603,
'83,Miscellaneous articles of base metal,16292,18682,15048,14500,,,1238149,1365623,1395404,1416045,1436893,,303326,332457,320386,369869,
'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",308644,354310,310601,333069,,,20778367,22675683,25262262,25553762,25919279,,5523406,5660062,6344392,7517530,
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",118406,104216,102059,127006,,,12013669,13705966,15453921,16448884,17754549,,5567707,6030166,7284275,7535762,
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",218,7,57,155,,,240731,284000,338284,430216,444646,,69226,8545,43726,92626,
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",423857,346495,321146,425958,,,25030889,26804291,30829182,32439511,36727817,,5536710,5478608,6526666,7566775,
'88,"Aircraft, spacecraft, and parts thereof",17462,100,1569,75,,,1407656,1988096,2756906,2407960,3195487,,1083244,1544137,1708305,1838089,
'89,"Ships, boats and floating structures",2333,1465,8625,26198,,,2055178,1795432,2196435,2447250,3066579,,133934,90272,108871,95838,
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",10084,9284,8987,11348,,,1420953,1600757,1922198,1964734,2071707,,772044,850192,999485,1168272,
'91,Clocks and watches and parts thereof,232,424,194,101,,,50929,41183,47288,66601,67629,,49381,44949,44843,48701,
'92,Musical instruments; parts and accessories of such articles,20,32,21,35,,,14877,16499,18241,18980,18872,,3622,3686,3398,5348,
'93,Arms and ammunition; parts and accessories thereof,134,504,95,107,,,1085017,1137427,1707883,2616886,4704236,,13188,10180,38527,5340,
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",95127,106334,104772,111944,,,4788354,5260727,5148558,5072184,5169176,,615076,762339,702187,790983,
'95,"Toys, games and sports requisites; parts and accessories thereof",2152,4585,3585,5897,,,183585,240784,253222,270897,266374,,115971,119621,121543,139733,
'96,Miscellaneous manufactured articles,175421,23983,67086,53955,,,954167,1148104,1256245,1108678,1094944,,934129,1103017,1023628,1602366,
'97,"Works of art, collectors' pieces and antiques",3,27,10,0,,,11793,16666,13720,14491,13300,,1519,2747,2534,3416,
